innláns,deposit
líkamstjóns,
sérlögum,
í för með sér,
tilvist,
tilliti,glance
tilliti,consider
tilliti,regard
tilliti,respect
tilliti,consideration
von úr viti,too long
von úr viti,far too long
tilfinnanlegt,severe
tilfinnanlegt,serious
tilfinnanlegt,considerable
tilfinnanlegt,appreciable
ganga upp,work
ganga upp,adds up
ganga upp,evens out
ganga upp,squared away
ódæmdri,
undirgengist,
útlánum,
peningamarkaðslána,
handveði,
geymslugreiðsla,deponering
viðtökudráttur,
geymslufé,
geymslureikning,
viðskiptabanka,
sparisjóði,
tvíriti,
vanræki,
af kann að leiða,can mean
gjaldfellingarheimild,
handhafa,holder
handhafa,bearer
kröfubréf,payment reminder
kröfubréf,collection letter
bar,bear
bar,ought
bar,should
veðskuldabréfunum,mortgage deed
veðskuldabréfunum,secured bond
gjaldfella,call in (a loan)
uppboðs,auction
umleitun,appeal
umleitun,plea
ógjaldfallnar,not due for payment
falla niður,cancelled
eiginlegum,natural
eiginlegum,real
gagnvart,facing
gagnvart,towards
gagnvart,in relation to
kröfurétti,claim right
kröfurétti,law of obligations
eftirgjafar,write-off
eftirgjafar,forgiveness
löggerningi,legal act
löggerningi,statement of intent legally
uppgjöfin,capitulation
uppgjöfin,surrender
uppgjöfin,submission
leystur,release
leystur,undo
kröfubréf,demand letter
undirstöðurit,standard work
undirstóðurit,defininitive work
sifjar,kinship
sifjar,blood relationship
þrífst,thrive
þrífst,grows
þrífst,develops
þrífst,flourish
þrífst,prosper
þrífast,thrives
myndast,appear
myndast,form
myndast,photograph
vöggu,cradle
síaukinni,ever-increasing
síaukinni,ever-growing
síaukini,continually increasing
síaukinni,continually increasing
mönnum,human
mönnum,man
mönnum,person
hugleikin,important
hugleikin,dear
hugleikin,near to one's heart
fræðslu,information
fræðslu,instruction
fræðslu,training
fræðslu,teaching
brjóta til mergjar,get to the bottom of
brjóta til mergjar,investigate in depth
brjóta til mergjar,cut to the bone
refsirétt,criminal law
skyldleika,kinship
skyldleika,similarity
sérhæfð,specialized
sérhæfð hugtök,jargon
réttarheimild,sources of law
lög og réttur,laws and rights
réttarsamband,
réttindi,right
réttindi,certification
réttindi,qualification
réttindi,entitlement
rétthæfi,
löggerningur,legal act
löggerningur,act of law
löggerningur,letter of intent of the law
viljayfirlýsing,letter of intent
réttaráhrif,
réttarregla,rule of law
réttarregla,acquis
beita,hitch
beita,beat
beita,employ
beita,apply
beita,exert
beita,wield
málalengingar,empty talk
málalengingar,idle talk
málalengingar,bluff
málalengingar,chit-chat
gáleysi,negligence
gáleysi,mistake
gáleysi,oversight
vítavert gáleysi,gross negligence
stórfellt gáleysi,gross negligence
gróft gáleysi,gross negligence
tiltækt,reachable
tiltækt,obtainable
tiltækt,available
tiltækt,accessible
aðgengilegt,accessible
aðgengilegt,approachable
aðgengilegt,reasonable
aðgengilegt,acceptable
lesefnisspurningar,reading comprehension questions
lesefnisspurningar,discussion questions
tekið eftir,notice
sérhverju,each
blaðsíðutal,page number
lagagrein,provision
sést á, seen on
sést á,found on
átt við,mean
átt við,imply
átt við,apply to
meginregla,principle
meginregla,precept
meginregla,basic rule
fara eftir,follow
það fer eftir, it depends
fjórfrelsi,the four freedoms
fjórfrelsi, the four freedoms of the European single market
fer með,represent
fer með,recite
fer með,accompany
fer með,bring
löggjafarvald,legislative power
löggjafarvald,legislative authority
Þrígreining,
